X0Y1,Defect,StrainRate,Temperature,FractureStrain,FractureStrength,YoungsModulus
0,1,0.00005,1200,0.069945,56.582623,863.052849
0,1,0.00005,1200,0.0685,55.109802,871.9527
0,1,0.00005,1200,0.069555,55.882161,874.814045
0,1,0.00005,1200,0.06944,55.744071,873.174871
0,1,0.00005,300,0.09257,74.395095,943.002509
0,1,0.00005,300,0.09292,74.630792,945.890396
0,1,0.00005,300,0.09363,74.702136,941.245438
0,1,0.00005,300,0.094235,75.094643,943.178812
0,1,0.00005,300,0.09429,74.790569,932.395294
0,1,0.00005,600,0.08064,66.008208,923.717986
0,1,0.00005,600,0.087055,69.417607,914.308758
0,1,0.00005,600,0.081895,66.982248,929.12483
0,1,0.00005,600,0.0851,68.610711,933.267849
0,1,0.00005,600,0.0842,68.117749,924.182505
0,1,0.0001,1,0.10085,80.665287,972.097107
0,1,0.0001,1,0.10088,80.676968,972.026621
0,1,0.0001,1,0.10082,80.654517,972.01005
0,1,0.0001,1,0.10081,80.655324,972.025779
0,1,0.0001,1,0.10093,80.697601,971.987349
0,1,0.0001,10,0.10037,80.389923,969.246302
0,1,0.0001,10,0.10017,80.288587,969.10817
0,1,0.0001,10,0.10084,80.579181,969.052167
0,1,0.0001,10,0.10076,80.539828,969.191374
0,1,0.0001,10,0.10073,80.550837,969.487356
0,1,0.0001,100,0.09742,78.20544,960.745891
0,1,0.0001,100,0.09848,78.703371,959.604529
0,1,0.0001,100,0.09975,79.47403,959.210608
0,1,0.0001,100,0.09919,79.251121,962.874734
0,1,0.0001,100,0.10009,79.446628,958.373264
0,1,0.0001,1200,0.06758,53.911997,869.716005
0,1,0.0001,1200,0.06907,56.14752,872.455727
0,1,0.0001,1200,0.06757,54.78975,878.812081
0,1,0.0001,1200,0.07032,56.391149,871.237186
0,1,0.0001,1200,0.06846,54.989572,867.81542
0,1,0.0001,300,0.09192,73.959073,946.333966
0,1,0.0001,300,0.09001,73.109627,947.222563
0,1,0.0001,300,0.09364,74.787093,944.260764
0,1,0.0001,300,0.09461,75.28694,945.806208
0,1,0.0001,300,0.094,74.579929,937.552959
0,1,0.0001,600,0.08451,68.168222,927.051187
0,1,0.0001,600,0.08503,68.274922,917.198532
